age,tenure_months,monthly_spend,support_tickets,late_payments,contract_type,has_autopay,uses_mobile_app,satisfaction_score,churn
23,64,43.33,1,0,one-year,0,1,2.6,0
62,35,46.06,0,0,one-year,0,1,10.0,0
55,71,119.06,1,1,one-year,0,0,9.8,0
43,55,104.64,1,0,one-year,0,1,7.8,0
43,47,55.94,0,0,one-year,1,1,7.3,0
67,66,57.0,1,0,one-year,0,1,4.3,0
22,38,39.72,2,1,month-to-month,1,0,6.7,0
58,52,23.02,3,1,month-to-month,0,1,10.0,0
29,21,62.43,2,0,month-to-month,1,0,7.3,0
23,70,43.05,3,0,month-to-month,0,0,6.1,0
48,45,63.13,3,0,month-to-month,1,1,3.9,1
74,57,29.8,0,1,month-to-month,0,0,9.6,0
60,34,48.24,1,0,month-to-month,1,0,7.0,0
62,63,68.27,1,0,month-to-month,1,1,3.9,0
59,6,73.06,1,0,month-to-month,1,1,5.4,0
63,9,74.18,2,0,one-year,1,1,4.8,1
47,37,35.95,3,0,one-year,0,1,6.9,0
25,53,83.8,1,3,one-year,1,1,7.5,0
66,59,47.4,0,0,month-to-month,1,0,6.2,0
44,32,78.92,3,0,two-year,1,1,8.5,0
