age,tenure_months,monthly_spend,support_tickets,late_payments,contract_type,has_autopay,uses_mobile_app,satisfaction_score,churn
23,64,43.33,1,0,one-year,0,1,2.6,0
62,35,46.06,0,0,one-year,0,1,10.0,0
55,71,119.06,1,1,one-year,0,0,9.8,0
43,55,104.64,1,0,one-year,0,1,7.8,0
43,47,55.94,0,0,one-year,1,1,7.3,0
67,66,57.0,1,0,one-year,0,1,4.3,0
22,38,39.72,2,1,month-to-month,1,0,6.7,0
58,52,23.02,3,1,month-to-month,0,1,10.0,0
29,21,62.43,2,0,month-to-month,1,0,7.3,0
23,70,43.05,3,0,month-to-month,0,0,6.1,0
48,45,63.13,3,0,month-to-month,1,1,3.9,1
74,57,29.8,0,1,month-to-month,0,0,9.6,0
60,34,48.24,1,0,month-to-month,1,0,7.0,0
62,63,68.27,1,0,month-to-month,1,1,3.9,0
59,6,73.06,1,0,month-to-month,1,1,5.4,0
63,9,74.18,2,0,one-year,1,1,4.8,1
47,37,35.95,3,0,one-year,0,1,6.9,0
25,53,83.8,1,3,one-year,1,1,7.5,0
66,59,47.4,0,0,month-to-month,1,0,6.2,0
44,32,78.92,3,0,two-year,1,1,8.5,0
47,47,64.77,1,0,one-year,1,1,7.2,0
39,40,34.72,3,0,month-to-month,0,1,9.0,0
28,70,58.04,1,0,two-year,1,0,6.5,0
71,48,73.04,3,0,month-to-month,1,1,10.0,0
63,31,78.49,0,0,one-year,1,1,6.1,0
55,70,61.9,0,1,one-year,1,1,5.5,0
41,8,98.7,0,0,month-to-month,0,1,5.3,1
65,71,87.17,2,0,one-year,1,1,6.7,0
49,12,59.35,0,0,month-to-month,1,0,4.0,1
43,21,81.5,0,1,month-to-month,0,1,7.6,0
44,60,107.54,1,2,month-to-month,1,0,3.7,1
31,53,108.13,1,0,month-to-month,0,1,7.4,0
23,70,37.98,1,0,month-to-month,1,0,4.7,1
50,54,44.62,2,0,one-year,0,1,6.4,0
69,46,97.67,0,0,month-to-month,1,1,8.2,0
21,25,41.72,3,1,month-to-month,1,1,10.0,0
67,1,35.9,0,1,one-year,0,1,5.2,1
66,9,54.3,2,1,month-to-month,0,1,6.8,1
34,22,74.24,3,0,month-to-month,0,1,5.8,0
54,3,62.75,0,0,one-year,0,1,5.5,1
27,37,50.69,4,0,two-year,1,0,5.8,1
61,56,50.17,1,1,month-to-month,0,1,8.6,0
58,70,49.33,0,0,month-to-month,0,0,6.2,0
38,36,45.65,0,0,one-year,1,1,10.0,0
21,64,115.2,1,0,two-year,1,1,7.8,0
74,71,71.55,0,0,month-to-month,1,1,5.3,0
43,62,84.51,1,0,month-to-month,0,1,6.4,0
69,34,54.24,0,0,month-to-month,1,1,5.7,0
57,24,60.91,1,0,one-year,1,0,8.5,1
63,71,49.3,2,0,two-year,0,0,4.2,0
62,18,15.0,4,1,one-year,0,1,4.7,1
29,30,34.68,2,0,month-to-month,1,1,6.0,0
39,6,25.17,3,0,one-year,0,1,8.3,0
45,58,15.5,0,0,one-year,1,1,9.3,0
46,47,38.7,1,0,month-to-month,0,1,9.6,0
20,7,94.15,1,0,one-year,1,1,8.1,0
49,16,64.02,0,0,month-to-month,1,1,7.0,0
26,40,93.39,1,0,month-to-month,0,1,8.5,1
61,39,74.04,1,0,one-year,1,0,5.0,1
57,58,82.22,1,1,month-to-month,1,1,3.8,1
71,20,45.18,1,0,two-year,1,1,7.9,0
61,67,76.53,2,0,month-to-month,0,0,5.3,0
39,33,81.03,1,0,month-to-month,0,0,7.0,1
74,60,52.31,0,1,month-to-month,0,1,7.3,0
41,18,77.31,1,0,month-to-month,0,1,7.5,0
36,3,77.46,3,0,month-to-month,0,0,8.8,0
70,4,52.91,1,0,one-year,1,1,8.6,0
39,27,40.3,0,1,month-to-month,1,1,7.5,0
22,69,38.95,0,1,month-to-month,0,1,6.3,1
45,4,66.9,2,1,one-year,0,1,7.3,0
64,27,72.19,3,0,month-to-month,0,0,6.0,1
28,8,47.56,3,1,one-year,0,0,6.7,1
44,68,65.58,1,0,month-to-month,1,0,10.0,0
25,49,77.55,1,1,month-to-month,0,0,7.4,0
57,55,78.6,0,1,one-year,0,1,7.9,0
45,52,99.14,0,2,one-year,0,0,5.8,0
37,48,93.09,1,0,one-year,0,1,8.9,0
31,56,42.97,0,0,month-to-month,1,1,8.5,0
50,1,102.04,1,0,month-to-month,0,1,8.5,1
56,63,53.32,3,1,one-year,1,1,7.5,0
72,54,87.99,0,0,one-year,0,1,9.0,0
43,54,66.5,1,0,one-year,1,1,9.4,0
27,29,55.93,3,0,one-year,1,1,7.6,0
66,58,25.23,2,1,one-year,1,1,6.9,1
54,28,61.23,0,0,month-to-month,1,1,8.7,0
58,4,30.69,0,2,one-year,1,1,5.5,0
23,66,86.28,1,1,month-to-month,0,1,5.8,1
36,17,98.37,1,1,month-to-month,1,1,7.0,1
62,8,47.47,3,0,one-year,0,0,4.0,1
66,45,71.64,0,0,month-to-month,1,1,8.6,0
43,17,49.04,1,0,month-to-month,1,1,5.4,1
64,62,51.17,5,0,two-year,0,1,6.3,0
66,32,82.04,2,0,one-year,0,0,6.7,0
40,1,64.15,1,0,month-to-month,1,1,7.2,1
70,69,103.27,0,0,two-year,0,1,6.5,0
34,38,54.39,0,0,month-to-month,0,1,7.0,0
31,19,86.99,0,0,one-year,0,0,7.0,0
57,49,67.14,2,2,month-to-month,0,0,6.3,0
54,39,82.51,1,0,month-to-month,0,1,5.7,1
26,3,55.16,1,0,month-to-month,0,1,9.0,0
66,55,63.91,1,0,month-to-month,1,1,3.3,0
29,29,62.46,3,1,month-to-month,1,1,6.7,1
64,51,46.61,0,0,month-to-month,1,0,6.3,1
18,65,79.57,4,0,one-year,0,0,7.9,0
64,44,79.31,3,0,month-to-month,0,0,4.5,1
